Date	Open	High	Low	Close*	Adj Close**	Volume
Jul 14, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	161,058
Jul 13, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	228,096
Jul 12, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	382,756
Jul 11, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	223,700
Jul 10, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	116,616
Jul 09, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	146,328
Jul 08, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	247,412
Jul 07, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	238,794
Jul 06, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	1,777,410
Jul 05, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	182,004
Jul 04, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	181,751
Jul 03, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	472,627
Jul 02, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	159,445
Jul 01, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	270,360
Jun 30, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	359,916
Jun 29, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	351,281
Jun 28, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	691,171
Jun 27, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	171,751
Jun 26, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	234,233
Jun 25, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	338,125
Jun 24, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	459,727
Jun 23, 2016	0.0003	0.0003	0.0002	0.0003	0.0003	501,034
Jun 22, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	441,160
Jun 21, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	662,975
Jun 20, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	516,209
Jun 19, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	442,660
Jun 18, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	303,988
Jun 17, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	688,175
Jun 16, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	398,411
Jun 15, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	363,588
Jun 14, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	1,283,070
Jun 13, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	827,824
Jun 12, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	595,447
Jun 11, 2016	0.0003	0.0003	0.0002	0.0003	0.0003	199,328
Jun 10, 2016	0.0003	0.0003	0.0003	0.0003	0.0003	337,925
Jun 09, 2016	0.0002	0.0003	0.0002	0.0003	0.0003	520,075
Jun 08, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	180,955
Jun 07, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	185,525
Jun 06, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	112,362
Jun 05, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	67,034
Jun 04, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	107,638
Jun 03, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	116,288
Jun 02, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	82,274
Jun 01, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	113,517
May 31, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	181,107
May 30, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	147,592
May 29, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	340,639
May 28, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	364,972
May 27, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	336,255
May 26, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	86,853
May 25, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	92,668
May 24, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	65,382
May 23, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	56,105
May 22, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	67,026
May 21, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	46,799
May 20, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	150,154
May 19, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	163,249
May 18, 2016	0.0002	0.0002	0.0002	0.0002	0.0002	83,520
